map,w,h,ruins,coords,ks
Portal,35,35,22,14:22 20:12 20:22 14:12 12:17 22:17 5:20 29:14 5:15 29:19 5:10 29:24 8:5 26:29 13:2 21:32 18:2 16:32 2:32 32:2 32:32 2:2,26 26 26 26 29 29 19 19 20 20 15 15 13 13 15 15 18 18 4 4 4 4
Racetrack,25,25,10,2:21 22:3 7:21 17:3 12:19 12:5 21:11 3:13 17:17 7:7,5 5 10 10 17 17 14 14 14 14
Restart,55,55,28,36:44 18:10 31:46 23:8 25:46 29:8 18:45 36:9 13:42 41:12 11:37 43:17 9:32 45:22 23:24 31:30 37:25 17:29 28:16 26:38 2:3 52:51 9:3 45:51 2:10 52:44 3:16 51:38,28 28 31 31 33 33 27 27 25 25 28 28 31 31 47 47 42 42 42 42 5 5 12 12 12 12 19 19
Rose,40,40,26,16:32 23:7 22:32 17:7 7:17 32:22 6:23 33:16 15:22 24:17 20:26 19:13 9:9 30:30 2:13 37:26 28:3 11:36 27:37 12:2 2:18 37:21 23:2 16:37 22:37 17:2,23 23 24 24 24 24 22 22 32 32 32 32 18 18 15 15 14 14 14 14 20 20 18 18 19 19
SMILE,60,60,38,24:25 35:25 54:42 5:42 13:35 46:35 4:28 55:28 3:35 56:35 12:28 47:28 5:17 54:17 11:22 48:22 16:20 43:20 8:10 51:10 8:4 51:4 3:9 56:9 2:4 57:4 22:4 37:4 17:8 42:8 26:53 33:53 27:34 32:34 21:13 38:13 18:50 41:50,49 49 22 22 37 37 32 32 27 27 40 40 22 22 33 33 36 36 18 18 12 12 12 12 6 6 26 26 25 25 32 32 52 52 34 34 27 27
SaltyPepper,40,40,20,10:9 29:9 14:17 25:17 8:28 31:28 12:2 27:2 2:26 37:26 2:34 37:34 9:34 30:34 15:37 24:37 17:31 22:31 15:10 24:10,19 19 31 31 19 19 14 14 15 15 7 7 14 14 17 17 25 25 25 25
SandyBeach,30,30,16,2:9 27:9 6:2 23:2 7:7 22:7 12:10 17:10 12:4 17:4 12:27 17:27 11:22 18:22 3:16 26:16,11 11 8 8 14 14 22 22 16 16 14 14 18 18 16 16
Snowglobe,40,40,20,16:27 23:27 16:20 23:20 17:9 22:9 12:8 27:8 17:37 22:37 7:30 32:30 6:24 33:24 6:19 33:19 11:2 28:2 11:35 28:35,28 28 35 35 26 26 20 20 19 19 16 16 21 21 25 25 13 13 15 15
Snowman,25,25,6,9:7 15:7 7:21 17:21 2:14 22:14,16 16 10 10 12 12
TargetPractice,30,30,12,10:2 19:2 2:12 27:12 2:18 27:18 2:24 27:24 7:27 22:27 9:21 20:21,12 12 14 14 13 13 7 7 9 9 17 17
Terminal,40,30,12,5:15 34:14 10:15 29:14 16:15 23:14 16:24 23:5 22:24 17:5 27:24 12:5,19 19 24 24 30 30 21 21 22 22 17 17
TheBest,60,60,44,5:33 5:26 16:33 16:26 26:32 26:27 32:32 32:27 42:32 42:27 53:33 53:26 57:48 57:11 55:39 55:20 56:56 56:3 48:53 48:6 49:48 49:11 44:39 44:20 38:43 38:16 38:51 38:8 33:54 33:5 22:54 22:5 39:57 39:2 22:46 22:13 14:55 14:4 8:57 8:2 2:50 2:9 2:41 2:18,31 31 42 42 53 53 54 54 44 44 32 32 13 13 24 24 6 6 17 17 21 21 35 35 37 37 29 29 31 31 27 27 22 22 35 35 18 18 10 10 11 11 20 20
Thirds,55,40,22,2:36 2:3 7:31 7:8 12:26 12:13 23:13 23:26 27:8 27:31 31:3 31:36 3:24 3:15 31:24 31:15 21:35 21:4 43:23 43:16 50:23 50:16,5 5 15 15 25 25 36 36 35 35 26 26 18 18 38 38 25 25 27 27 20 20
UglySweater,50,50,28,8:24 41:25 7:30 42:19 10:35 39:14 15:39 34:10 21:40 28:9 28:40 21:9 18:31 31:18 25:30 24:19 19:25 30:24 4:46 45:3 41:42 8:7 47:35 2:14 29:46 20:3 2:20 47:29,32 32 26 26 24 24 25 25 30 30 30 30 36 36 43 43 43 43 7 7 15 15 16 16 23 23 22 22
UnderTheSea,45,45,23,36:40 36:4 10:33 10:11 2:34 2:10 16:37 16:7 14:27 14:17 31:28 31:16 40:31 40:13 27:22 11:22 19:22 35:22 42:22 25:2 25:42 42:2 42:42,12 12 21 21 12 12 23 23 31 31 29 29 17 17 39 33 41 31 24 21 21 4 4
box,31,31,8,6:23 6:7 2:15 8:15 23:22 23:8 28:20 28:10,13 13 17 23 15 15 12 12
boxofchocolates,55,55,15,8:36 46:18 4:48 50:6 29:48 25:6 27:27 6:24 48:30 5:14 49:40 38:8 16:46 31:13 23:41,26 26 10 10 31 31 54 30 30 19 19 24 24 36 36
catface,30,30,6,9:18 20:18 5:25 24:25 11:8 18:8,20 20 9 9 19 19
defensetower,40,59,18,2:52 2:6 5:38 5:20 36:36 36:22 36:46 36:12 36:54 36:4 17:46 17:12 29:35 29:23 6:32 6:26 8:55 8:3,8 8 25 25 25 25 15 15 7 7 29 29 33 33 32 32 11 11
fix,40,50,24,2:30 2:19 8:30 8:19 14:30 14:19 20:30 20:19 26:30 26:19 32:30 32:19 2:46 2:3 8:46 8:3 14:46 14:3 20:46 20:3 32:46 32:3 26:3 26:46,21 21 27 27 33 33 38 38 32 32 26 26 5 5 11 11 17 17 22 22 10 10 16 16
galaxy,45,45,24,9:2 35:42 17:2 27:42 24:2 20:42 39:11 5:33 33:11 11:33 28:11 16:33 23:14 21:30 18:16 26:28 10:12 34:32 7:23 37:21 12:28 32:16 3:41 41:3,11 11 19 19 22 22 16 16 22 22 27 27 35 35 34 34 22 22 28 28 28 28 6 6
gardenworld,60,60,22,26:31 33:28 18:45 41:14 25:41 34:18 25:46 34:13 40:41 19:18 24:26 35:33 15:29 44:30 9:29 50:30 4:29 55:30 33:56 26:3 33:48 26:11,54 54 32 32 43 43 38 38 37 37 50 50 44 44 38 38 33 33 29 29 37 37
giver,50,50,26,3:20 46:29 6:27 43:22 2:34 47:15 7:36 42:13 4:42 45:7 9:43 40:6 19:43 30:6 14:41 35:8 27:46 22:3 32:42 17:7 14:47 35:2 4:47 45:2 29:27 20:22,23 23 28 28 17 17 20 20 11 11 15 15 25 25 22 22 25 25 24 24 16 16 6 6 42 42
gridworld,31,31,21,3:21 27:9 3:15 27:15 3:9 27:21 9:27 21:3 9:21 21:9 9:15 21:15 9:3 21:27 15:3 15:27 15:9 15:21 15:15 9:9 21:21,12 12 18 18 12 12 12 12 18 18 24 24 12 12 18 18 24 24 30 18 18
headphones,60,60,32,18:13 41:13 12:16 47:16 24:32 35:32 26:23 33:23 26:39 33:39 4:41 55:41 8:34 51:34 2:27 57:27 4:20 55:20 2:14 57:14 7:7 52:7 2:3 57:3 13:2 46:2 23:2 36:2 20:57 39:57 12:46 47:46,31 31 28 28 51 51 49 49 46 46 22 22 33 33 29 29 24 24 16 16 14 14 5 5 15 15 25 25 22 22 25 25
leavemealone,50,30,14,9:25 40:25 14:27 35:27 3:22 46:22 3:17 46:17 22:17 27:17 14:4 35:4 20:4 29:4,13 13 16 16 10 10 15 15 34 34 18 18 24 24
lighthouse,31,31,11,15:25 2:22 28:22 2:16 28:16 2:10 28:10 15:19 15:14 15:9 15:4,20 10 10 16 16 12 12 26 29 24 19
maze,60,60,28,27:36 32:36 27:31 32:31 20:32 39:32 17:6 42:6 2:26 57:26 27:54 32:54 20:55 39:55 13:44 46:44 6:11 53:11 6:16 53:16 20:37 39:37 13:37 46:37 7:37 52:37 19:44 40:44,50 50 55 55 47 47 23 23 28 28 32 32 24 24 28 28 17 17 22 22 42 42 35 35 29 29 34 34
memstore,59,39,26,14:2 44:2 2:7 56:7 2:2 56:2 23:7 35:7 29:3 29:8 38:14 20:14 11:22 47:22 29:24 35:36 23:36 9:36 49:36 3:29 55:29 2:18 56:18 45:28 13:28 29:15,16 16 9 9 4 4 30 30 32 37 34 34 27 27 43 25 25 11 11 12 12 20 20 23 23 44
mit,60,60,24,16:39 43:39 21:39 38:39 26:39 33:39 9:34 50:34 14:3 45:3 24:2 35:2 3:43 56:43 10:46 49:46 14:52 45:52 8:56 51:56 19:57 40:57 26:56 33:56,36 36 41 41 46 46 34 34 17 17 26 26 19 19 23 23 21 21 11 11 21 21 29 29
quack,30,35,12,2:4 2:30 2:9 2:25 2:14 2:20 13:21 13:13 25:2 25:32 26:13 26:21,6 6 11 11 16 16 26 26 6 6 16 16
rain,30,30,12,14:18 15:11 16:26 13:3 8:15 21:14 2:2 27:27 2:27 27:2 8:23 21:6,25 25 16 16 22 22 4 4 4 4 14 14
roads,30,30,8,2:20 2:9 15:26 15:3 15:20 15:9 21:9 21:20,11 11 17 17 23 23 17 17
sayhi,40,50,22,13:9 26:40 11:2 28:47 5:5 34:44 6:12 33:37 11:17 28:32 2:23 37:26 17:21 22:28 10:24 29:25 2:33 37:16 2:38 37:11 2:17 37:32,22 22 13 13 10 10 18 18 28 28 25 25 38 38 34 34 18 18 13 13 19 19
shell,40,40,20,13:26 26:26 13:13 26:13 3:26 36:26 12:3 27:3 12:35 27:35 3:36 36:36 3:3 36:3 3:20 36:20 17:35 22:35 17:3 22:3,26 26 26 26 16 16 15 15 16 16 6 6 6 6 22 22 21 21 20 20
sierpinski,39,50,16,9:28 9:21 5:33 5:16 2:38 2:11 27:28 27:21 31:33 31:16 36:44 36:5 2:44 2:5 3:21 3:28,30 30 21 21 13 13 32 32 23 23 7 7 7 7 24 24
starburst,30,30,8,5:22 24:7 23:22 6:7 14:27 15:2 3:15 26:14,12 12 13 13 16 16 17 17
sunrise,45,55,17,2:3 42:3 2:10 42:10 22:7 22:12 22:37 11:33 33:33 16:36 28:36 3:44 41:44 7:50 37:50 2:52 42:52,5 5 12 12 29 34 39 32 32 34 34 13 13 11 11 4 4
walalilongla,45,45,18,19:25 25:19 2:32 42:12 2:25 42:19 2:19 42:25 2:13 42:31 9:12 35:32 10:40 34:4 32:40 12:4 27:13 17:31,38 38 14 14 21 21 21 21 15 15 21 21 14 14 16 16 30 30
windmill,30,30,8,2:9 27:20 6:14 23:15 5:19 24:10 16:22 13:7,11 11 20 20 15 15 20 20
yearofthesnake,45,45,16,7:11 37:33 2:14 42:30 2:7 42:37 6:2 38:42 34:2 10:42 9:35 35:9 12:4 32:40 16:14 28:30,18 18 16 16 9 9 8 8 12 12 18 18 16 16 30 30
