team_a,team_b,map,winner_side,winner_bot,rounds
bob,alice,Circuit,B,alice,1891
alice,bob,TheBest,B,bob,696
bob,alice,UnderTheSea,A,bob,530
alice,bob,UnderTheSea,B,bob,630
alice,bob,shell,B,bob,561
alice,bob,windmill,B,bob,578
bob,alice,TheBest,A,bob,989
alice,bob,Rose,A,alice,267
bob,alice,shell,B,alice,941
bob,alice,windmill,B,alice,570
bob,alice,Leaf,B,alice,2000
alice,bob,TargetPractice,A,alice,585
bob,alice,TargetPractice,A,bob,685
bob,alice,Rose,B,alice,2000
alice,bob,gridworld,B,bob,2000
alice,bob,Brat,A,alice,325
bob,alice,gridworld,B,alice,2000
bob,alice,Brat,B,alice,730
alice,bob,maze,A,alice,893
alice,bob,SMILE,A,alice,2000
bob,alice,Terminal,B,alice,309
bob,alice,SMILE,A,bob,2000
alice,bob,Terminal,B,bob,594
bob,alice,Bunny,B,alice,416
alice,bob,Bunny,A,alice,552
bob,alice,box,B,alice,970
bob,alice,maze,B,alice,1441
alice,bob,Filter,A,alice,1071
alice,bob,box,B,bob,1949
bob,alice,Restart,A,bob,432
bob,alice,Filter,B,alice,1015
alice,bob,Thirds,A,alice,559
bob,alice,Thirds,A,bob,902
alice,bob,Paintball,B,bob,286
alice,bob,Restart,B,bob,1232
bob,alice,Paintball,A,bob,615
bob,alice,Gears,B,alice,877
bob,alice,BatSignal,A,bob,614
alice,bob,BatSignal,B,bob,2000
bob,alice,PlumberGame,A,bob,520
alice,bob,rain,B,bob,420
alice,bob,PlumberGame,B,bob,921
bob,alice,rain,A,bob,1564
alice,bob,Jail,A,alice,288
bob,alice,Jail,B,alice,236
alice,bob,Gears,A,alice,2000
bob,alice,Mirage,A,bob,582
alice,bob,sayhi,A,alice,2000
alice,bob,Mirage,B,bob,1137
alice,bob,giver,A,alice,376
bob,alice,DefaultLarge,A,bob,408
bob,alice,sayhi,B,alice,2000
carol,alice,Piglets2,B,alice,710
alice,bob,DefaultLarge,B,bob,1464
carol,alice,Barcode,B,alice,524
alice,carol,Barcode,A,alice,1784
alice,carol,Piglets2,A,alice,2000
alice,carol,gardenworld,B,carol,955
alice,carol,Parking_lot,A,alice,435
bob,alice,giver,A,bob,1348
carol,alice,Parking_lot,B,alice,462
carol,alice,gardenworld,A,carol,963
carol,alice,MoneyTower,A,carol,740
alice,carol,MoneyTower,B,carol,1062
alice,carol,AlarmClock,B,carol,587
carol,alice,AlarmClock,A,carol,883
alice,carol,Crab,A,alice,1269
carol,alice,walalilongla,B,alice,1117
alice,carol,walalilongla,A,alice,1300
alice,carol,lighthouse,A,alice,1176
carol,alice,lighthouse,B,alice,1273
carol,alice,Crab,B,alice,2000
alice,carol,Fossil,A,alice,801
alice,carol,sierpinski,B,carol,1028
carol,alice,Fossil,A,carol,643
carol,alice,sierpinski,A,carol,1413
alice,carol,Flower,A,alice,716
carol,alice,SandyBeach,A,carol,332
carol,alice,Flower,B,alice,1033
alice,carol,starburst,B,carol,380
alice,carol,SandyBeach,A,alice,900
carol,alice,starburst,A,carol,442
carol,alice,Dominoes,A,carol,646
carol,alice,yearofthesnake,B,alice,725
carol,alice,Snowman,A,carol,144
alice,carol,Snowman,A,alice,1570
alice,carol,yearofthesnake,A,alice,1668
alice,carol,Dominoes,A,alice,1309
carol,alice,fix,A,carol,390
alice,carol,Justice,B,carol,194
alice,carol,fix,A,alice,836
alice,carol,DefaultSmall,B,carol,201
carol,alice,DefaultSmall,A,carol,154
carol,alice,Justice,A,carol,1054
carol,alice,Snowglobe,B,alice,936
alice,carol,DefaultMedium,B,carol,726
alice,carol,BunnyGame,B,carol,400
carol,alice,DefaultMedium,A,carol,629
carol,alice,BunnyGame,A,carol,797
carol,alice,Racetrack,B,alice,831
alice,carol,Racetrack,A,alice,982
alice,carol,Snowglobe,B,carol,1813
carol,alice,UglySweater,B,alice,897
alice,carol,UglySweater,A,alice,1246
alice,carol,boxofchocolates,A,alice,1110
carol,alice,boxofchocolates,A,carol,1138
carol,alice,Bread,A,carol,444
alice,carol,Bread,B,carol,1248
carol,alice,DefaultHuge,B,alice,1138
carol,alice,quack,B,alice,608
alice,carol,Money,A,alice,802
carol,alice,Money,B,alice,702
alice,carol,sunrise,A,alice,426
alice,carol,quack,B,carol,1894
alice,carol,SaltyPepper,A,alice,956
alice,carol,DefaultHuge,A,alice,2000
carol,alice,SaltyPepper,B,alice,897
alice,carol,headphones,A,alice,422
alice,carol,catface,B,carol,301
carol,alice,sunrise,B,alice,1339
carol,alice,catface,A,carol,496
alice,carol,defensetower,A,alice,607
carol,alice,headphones,B,alice,907
carol,alice,defensetower,B,alice,1067
carol,alice,Oasis,B,alice,926
alice,carol,Oasis,A,alice,1097
alice,carol,Castle,A,alice,1700
carol,alice,Castle,B,alice,1885
alice,carol,FourCorners,B,carol,505
carol,alice,FourCorners,A,carol,448
carol,alice,roads,A,carol,373
alice,carol,roads,B,carol,859
alice,carol,HungerGames,A,alice,2000
carol,alice,HungerGames,A,carol,2000
carol,alice,DonkeyKong,B,alice,720
alice,carol,DonkeyKong,A,alice,851
alice,carol,leavemealone,B,carol,615
carol,alice,leavemealone,B,alice,1280
alice,carol,galaxy,A,alice,1209
carol,alice,mit,B,alice,2000
alice,carol,mit,A,alice,2000
carol,alice,galaxy,B,alice,859
alice,carol,Portal,A,alice,811
carol,alice,Portal,B,alice,807
alice,carol,memstore,A,alice,1584
carol,alice,Leaf,B,alice,875
alice,carol,CastleDefense,B,carol,331
carol,alice,CastleDefense,A,carol,290
carol,alice,memstore,B,alice,2000
alice,carol,Leaf,A,alice,2000
carol,alice,Circuit,B,alice,2000
alice,carol,Circuit,B,carol,2000
carol,alice,UnderTheSea,A,carol,737
carol,alice,TheBest,B,alice,1223
alice,carol,TheBest,A,alice,1769
alice,carol,UnderTheSea,B,carol,2000
alice,carol,shell,A,alice,630
alice,carol,windmill,B,carol,440
carol,alice,shell,B,alice,465
carol,alice,windmill,A,carol,670
alice,carol,Rose,A,alice,483
carol,alice,Rose,B,alice,760
alice,carol,TargetPractice,B,carol,1180
carol,alice,TargetPractice,A,carol,420
alice,carol,gridworld,B,carol,328
carol,alice,gridworld,A,carol,292
alice,carol,Brat,B,carol,461
carol,alice,Brat,A,carol,429
alice,carol,SMILE,A,alice,983
alice,carol,Terminal,A,alice,1564
carol,alice,Terminal,B,alice,820
carol,alice,maze,B,alice,1370
alice,carol,maze,A,alice,1248
alice,carol,Bunny,B,carol,930
carol,alice,box,A,carol,555
alice,carol,box,B,carol,668
carol,alice,Bunny,B,alice,1023
carol,alice,SMILE,A,carol,2000
carol,alice,Filter,A,carol,178
alice,carol,Filter,A,alice,552
carol,alice,Thirds,A,carol,495
alice,carol,Restart,A,alice,1694
alice,carol,Thirds,B,carol,2000
carol,alice,Restart,A,carol,2000
alice,carol,Paintball,A,alice,775
alice,carol,Gears,B,carol,1901
carol,alice,Paintball,B,alice,784
carol,alice,BatSignal,A,carol,582
alice,carol,BatSignal,B,carol,954
alice,carol,rain,B,carol,478
carol,alice,rain,A,carol,393
alice,carol,sayhi,A,alice,359
alice,carol,PlumberGame,A,alice,1540
alice,carol,Jail,A,alice,259
carol,alice,PlumberGame,A,carol,1519
carol,alice,Jail,B,alice,823
carol,alice,Gears,A,carol,2000
carol,alice,sayhi,B,alice,1376
alice,carol,DefaultLarge,A,alice,825
alice,carol,giver,A,alice,506
alice,carol,Mirage,A,alice,1763
carol,alice,giver,A,carol,646
carol,alice,DefaultLarge,B,alice,1634
carol,alice,Mirage,B,alice,2000
carol,bob,Barcode,A,carol,459
bob,carol,Piglets2,A,bob,1496
carol,bob,Piglets2,B,bob,1246
bob,carol,Barcode,A,bob,1560
bob,carol,Parking_lot,A,bob,463
carol,bob,Parking_lot,B,bob,493
bob,carol,gardenworld,B,carol,917
carol,bob,gardenworld,A,carol,905
bob,carol,AlarmClock,B,carol,296
carol,bob,AlarmClock,A,carol,309
carol,bob,MoneyTower,A,carol,1190
carol,bob,walalilongla,A,carol,807
bob,carol,walalilongla,A,bob,1076
carol,bob,Crab,B,bob,466
bob,carol,MoneyTower,A,bob,2000
bob,carol,lighthouse,B,carol,510
bob,carol,sierpinski,B,carol,758
carol,bob,sierpinski,A,carol,580
bob,carol,Fossil,B,carol,536
bob,carol,Crab,B,carol,1980
carol,bob,Fossil,A,carol,775
carol,bob,lighthouse,A,carol,2000
bob,carol,SandyBeach,B,carol,427
carol,bob,Flower,B,bob,729
carol,bob,SandyBeach,A,carol,251
bob,carol,Flower,A,bob,651
carol,bob,starburst,A,carol,224
bob,carol,starburst,A,bob,488
bob,carol,Dominoes,B,carol,442
carol,bob,yearofthesnake,B,bob,576
carol,bob,Snowman,A,carol,170
carol,bob,Dominoes,A,carol,868
bob,carol,Snowman,A,bob,1133
carol,bob,fix,B,bob,535
bob,carol,fix,A,bob,762
bob,carol,yearofthesnake,A,bob,1166
bob,carol,Justice,B,carol,269
carol,bob,Justice,A,carol,263
bob,carol,DefaultSmall,B,carol,183
carol,bob,DefaultSmall,A,carol,131
bob,carol,Snowglobe,A,bob,1011
bob,carol,DefaultMedium,B,carol,536
bob,carol,BunnyGame,B,carol,373
carol,bob,BunnyGame,A,carol,418
carol,bob,DefaultMedium,B,bob,821
carol,bob,Snowglobe,B,bob,892
carol,bob,Racetrack,A,carol,510
bob,carol,Racetrack,A,bob,1116
bob,carol,UglySweater,A,bob,1011
carol,bob,DefaultHuge,B,bob,639
bob,carol,DefaultHuge,A,bob,741
bob,carol,boxofchocolates,B,carol,1023
carol,bob,Bread,A,carol,383
bob,carol,Bread,B,carol,395
bob,carol,quack,B,carol,538
carol,bob,boxofchocolates,A,carol,907
bob,carol,Money,A,bob,741
carol,bob,UglySweater,A,carol,2000
carol,bob,quack,B,bob,1335
carol,bob,Money,B,bob,1092
bob,carol,SaltyPepper,A,bob,622
carol,bob,SaltyPepper,B,bob,457
bob,carol,headphones,A,bob,673
bob,carol,catface,B,carol,400
bob,carol,sunrise,B,carol,1780
carol,bob,catface,A,carol,301
carol,bob,headphones,B,bob,765
carol,bob,defensetower,A,carol,1010
carol,bob,sunrise,A,carol,2000
bob,carol,defensetower,B,carol,1450
bob,carol,HungerGames,A,bob,774
bob,carol,Castle,B,carol,513
carol,bob,HungerGames,B,bob,805
carol,bob,Oasis,B,bob,1127
bob,carol,FourCorners,B,carol,476
carol,bob,FourCorners,A,carol,317
bob,carol,Oasis,A,bob,1673
bob,carol,roads,B,carol,547
carol,bob,roads,A,carol,598
carol,bob,Castle,B,bob,1730
bob,carol,DonkeyKong,A,bob,720
carol,bob,DonkeyKong,B,bob,746
bob,carol,leavemealone,A,bob,1494
bob,carol,mit,B,carol,2000
carol,bob,leavemealone,B,bob,1931
carol,bob,mit,A,carol,2000
bob,carol,galaxy,A,bob,2000
bob,carol,memstore,B,carol,928
carol,bob,galaxy,A,carol,2000
carol,bob,memstore,B,bob,639
bob,carol,Portal,A,bob,863
bob,carol,CastleDefense,B,carol,134
carol,bob,CastleDefense,A,carol,109
carol,bob,Portal,A,carol,2000
bob,carol,Leaf,A,bob,656
carol,bob,Leaf,B,bob,619
carol,bob,TheBest,B,bob,539
carol,bob,Circuit,B,bob,1271
bob,carol,TheBest,A,bob,559
bob,carol,Circuit,B,carol,2000
carol,bob,UnderTheSea,B,bob,991
bob,carol,windmill,A,bob,477
carol,bob,shell,B,bob,1042
bob,carol,shell,A,bob,1984
bob,carol,UnderTheSea,A,bob,1562
carol,bob,Rose,A,carol,454
bob,carol,Rose,B,carol,673
bob,carol,TargetPractice,B,carol,453
carol,bob,TargetPractice,A,carol,599
carol,bob,windmill,B,bob,2000
bob,carol,SMILE,B,carol,929
bob,carol,gridworld,B,carol,390
carol,bob,gridworld,A,carol,457
bob,carol,Brat,B,carol,588
carol,bob,Brat,A,carol,632
bob,carol,Terminal,B,carol,1491
carol,bob,Terminal,A,carol,1215
bob,carol,Bunny,B,carol,385
carol,bob,Bunny,A,carol,456
carol,bob,maze,B,bob,2000
bob,carol,box,B,carol,454
bob,carol,maze,A,bob,1850
carol,bob,box,A,carol,627
bob,carol,Filter,B,carol,133
carol,bob,Filter,A,carol,108
carol,bob,SMILE,B,bob,1910
bob,carol,Restart,A,bob,688
carol,bob,Thirds,A,carol,593
bob,carol,Thirds,B,carol,1177
carol,bob,Restart,B,bob,1132
bob,carol,Paintball,B,carol,141
carol,bob,Paintball,A,carol,163
bob,carol,BatSignal,B,carol,479
carol,bob,BatSignal,A,carol,714
bob,carol,PlumberGame,B,carol,570
carol,bob,PlumberGame,A,carol,460
bob,carol,rain,B,carol,306
carol,bob,rain,A,carol,332
bob,carol,Gears,B,carol,1610
carol,bob,Gears,B,bob,1012
bob,carol,Jail,B,carol,1337
carol,bob,Jail,A,carol,1892
bob,carol,Mirage,A,bob,768
bob,carol,sayhi,A,bob,2000
carol,bob,Mirage,B,bob,2000
carol,bob,sayhi,B,bob,2000
bob,carol,giver,B,carol,602
carol,bob,giver,A,carol,678
bob,carol,DefaultLarge,B,carol,2000
carol,bob,DefaultLarge,B,bob,1526
